x:6.91956, V:137.823, Pressure:256841, iteration:1, T:402.974, f_new:997.799, dfdT:2213.01
x:6.9201, V:137.931, Pressure:256820, iteration:1, T:402.973, f_new:997.799, dfdT:2212.98
x:6.92063, V:138.038, Pressure:256799, iteration:1, T:402.972, f_new:997.801, dfdT:2212.95
x:6.92117, V:138.146, Pressure:256778, iteration:1, T:402.971, f_new:997.804, dfdT:2212.91
x:6.9217, V:138.253, Pressure:256757, iteration:1, T:402.97, f_new:997.789, dfdT:2212.88
x:6.92223, V:138.361, Pressure:256736, iteration:1, T:402.969, f_new:997.795, dfdT:2212.85
x:6.92277, V:138.469, Pressure:256714, iteration:1, T:402.968, f_new:997.804, dfdT:2212.82
x:6.9233, V:138.575, Pressure:256693, iteration:1, T:402.967, f_new:997.793, dfdT:2212.79
x:6.92383, V:138.683, Pressure:256672, iteration:1, T:402.966, f_new:997.804, dfdT:2212.76
x:6.92436, V:138.79, Pressure:256651, iteration:1, T:402.965, f_new:997.797, dfdT:2212.73
x:6.92489, V:138.897, Pressure:256630, iteration:1, T:402.964, f_new:997.791, dfdT:2212.7
x:6.92543, V:139.005, Pressure:256609, iteration:1, T:402.963, f_new:997.807, dfdT:2212.67
x:6.92596, V:139.111, Pressure:256588, iteration:1, T:402.962, f_new:997.804, dfdT:2212.64
x:6.92649, V:139.218, Pressure:256567, iteration:1, T:402.961, f_new:997.803, dfdT:2212.61
x:6.92702, V:139.325, Pressure:256546, iteration:1, T:402.96, f_new:997.803, dfdT:2212.58
x:6.92755, V:139.432, Pressure:256524, iteration:1, T:402.959, f_new:997.805, dfdT:2212.55
x:6.92808, V:139.539, Pressure:256503, iteration:1, T:402.958, f_new:997.808, dfdT:2212.52
x:6.9286, V:139.645, Pressure:256482, iteration:1, T:402.957, f_new:997.792, dfdT:2212.48
x:6.92913, V:139.751, Pressure:256461, iteration:1, T:402.956, f_new:997.799, dfdT:2212.45
x:6.92966, V:139.858, Pressure:256440, iteration:1, T:402.955, f_new:997.807, dfdT:2212.42
x:6.93019, V:139.964, Pressure:256419, iteration:1, T:402.954, f_new:997.796, dfdT:2212.39
x:6.93072, V:140.071, Pressure:256398, iteration:1, T:402.953, f_new:997.808, dfdT:2212.36
x:6.93124, V:140.177, Pressure:256377, iteration:1, T:402.952, f_new:997.8, dfdT:2212.33
x:6.93177, V:140.283, Pressure:256356, iteration:1, T:402.951, f_new:997.793, dfdT:2212.3
x:6.93229, V:140.388, Pressure:256335, iteration:1, T:402.95, f_new:997.788, dfdT:2212.27
x:6.93282, V:140.495, Pressure:256313, iteration:1, T:402.949, f_new:997.806, dfdT:2212.24
x:6.93335, V:140.601, Pressure:256292, iteration:1, T:402.948, f_new:997.805, dfdT:2212.21
x:6.93387, V:140.707, Pressure:256271, iteration:1, T:402.947, f_new:997.804, dfdT:2212.18
x:6.9344, V:140.813, Pressure:256250, iteration:1, T:402.946, f_new:997.806, dfdT:2212.15
x:6.93492, V:140.918, Pressure:256229, iteration:1, T:402.945, f_new:997.788, dfdT:2212.12
x:6.93544, V:141.024, Pressure:256208, iteration:1, T:402.944, f_new:997.793, dfdT:2212.09
x:6.93597, V:141.13, Pressure:256187, iteration:1, T:402.943, f_new:997.799, dfdT:2212.06
x:6.93649, V:141.235, Pressure:256166, iteration:1, T:402.942, f_new:997.807, dfdT:2212.02
x:6.93701, V:141.34, Pressure:256145, iteration:1, T:402.941, f_new:997.795, dfdT:2211.99
x:6.93754, V:141.446, Pressure:256123, iteration:1, T:402.94, f_new:997.806, dfdT:2211.96
x:6.93806, V:141.551, Pressure:256102, iteration:1, T:402.939, f_new:997.798, dfdT:2211.93
x:6.93858, V:141.656, Pressure:256081, iteration:1, T:402.938, f_new:997.791, dfdT:2211.9
x:6.9391, V:141.762, Pressure:256060, iteration:1, T:402.937, f_new:997.806, dfdT:2211.87
x:6.93962, V:141.867, Pressure:256039, iteration:1, T:402.936, f_new:997.803, dfdT:2211.84
x:6.94014, V:141.972, Pressure:256018, iteration:1, T:402.935, f_new:997.8, dfdT:2211.81
x:6.94066, V:142.077, Pressure:255997, iteration:1, T:402.934, f_new:997.8, dfdT:2211.78
