[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
8.57 7.65027e-06 674.682 77700.3 300.669
8.58 7.65885e-06 675.183 77510.9 300.497
8.59 7.66743e-06 675.684 77322.3 300.324
8.6 7.67602e-06 676.182 77134.5 300.152
8.61 7.68462e-06 676.679 76947.6 299.981
8.62 7.69322e-06 677.175 76761.4 299.81
8.63 7.70182e-06 677.669 76576.1 299.639
8.64 7.71043e-06 678.161 76391.5 299.469
8.65 7.71905e-06 678.652 76207.8 299.299
8.66 7.72767e-06 679.141 76024.8 299.13
8.67 7.73629e-06 679.628 75842.6 298.961
8.68 7.74492e-06 680.115 75661.1 298.792
8.69 7.75355e-06 680.599 75480.5 298.624
8.7 7.76219e-06 681.082 75300.5 298.456
8.71 7.77083e-06 681.564 75121.4 298.289
8.72 7.77948e-06 682.044 74943 298.122
8.73 7.78813e-06 682.523 74765.3 297.955
8.74 7.79679e-06 683 74588.4 297.789
8.75 7.80545e-06 683.476 74412.2 297.624
8.76 7.81412e-06 683.95 74236.7 297.458
8.77 7.82279e-06 684.423 74062 297.293
8.78 7.83147e-06 684.894 73888 297.128
8.79 7.84015e-06 685.364 73714.7 296.964
8.8 7.84884e-06 685.833 73542 296.8
8.81 7.85753e-06 686.3 73370.1 296.637
8.82 7.86623e-06 686.766 73198.9 296.474
8.83 7.87493e-06 687.231 73028.4 296.311
8.84 7.88363e-06 687.694 72858.6 296.148
8.85 7.89234e-06 688.156 72689.5 295.986
8.86 7.90106e-06 688.616 72521 295.825
8.87 7.90978e-06 689.075 72353.2 295.663
8.88 7.9185e-06 689.533 72186.1 295.503
8.89 7.92723e-06 689.99 72019.7 295.342
8.9 7.93597e-06 690.445 71853.9 295.182
8.91 7.94471e-06 690.899 71688.7 295.022
8.92 7.95345e-06 691.351 71524.2 294.862
8.93 7.9622e-06 691.803 71360.4 294.703
8.94 7.97095e-06 692.253 71197.2 294.544
8.95 7.97971e-06 692.701 71034.7 294.386
8.96 7.98847e-06 693.149 70872.8 294.228
8.97 7.99724e-06 693.595 70711.5 294.07
8.98 8.00602e-06 694.04 70550.8 293.912
8.99 8.01479e-06 694.484 70390.8 293.755
9 8.02358e-06 694.926 70231.4 293.598
9.01 8.03236e-06 695.367 70072.5 293.442
9.02 8.04116e-06 695.808 69914.4 293.286
9.03 8.04995e-06 696.246 69756.8 293.13
9.04 8.05875e-06 696.684 69599.8 292.975
9.05 8.06756e-06 697.121 69443.4 292.819
9.06 8.07637e-06 697.556 69287.6 292.665
9.07 8.08519e-06 697.99 69132.4 292.51
9.08 8.09401e-06 698.423 68977.8 292.356
9.09 8.10284e-06 698.855 68823.8 292.202
9.1 8.11167e-06 699.285 68670.3 292.049
9.11 8.1205e-06 699.715 68517.5 291.895
9.12 8.12934e-06 700.143 68365.2 291.742
9.13 8.13819e-06 700.57 68213.5 291.59
9.14 8.14704e-06 700.996 68062.3 291.438
9.15 8.15589e-06 701.421 67911.7 291.286
9.16 8.16475e-06 701.845 67761.7 291.134
9.17 8.17362e-06 702.267 67612.2 290.983
9.18 8.18248e-06 702.689 67463.3 290.832
9.19 8.19136e-06 703.11 67314.9 290.681
9.2 8.20024e-06 703.529 67167.1 290.53
9.21 8.20912e-06 703.947 67019.8 290.38
9.22 8.21801e-06 704.364 66873 290.23
9.23 8.2269e-06 704.781 66726.8 290.081
9.24 8.2358e-06 705.196 66581.1 289.932
9.25 8.2447e-06 705.61 66436 289.783
9.26 8.25361e-06 706.023 66291.4 289.634
9.27 8.26252e-06 706.434 66147.3 289.486
9.28 8.27144e-06 706.845 66003.7 289.338
9.29 8.28036e-06 707.255 65860.7 289.19
9.3 8.28929e-06 707.664 65718.1 289.042
9.31 8.29822e-06 708.072 65576.1 288.895
9.32 8.30716e-06 708.478 65434.6 288.748
9.33 8.3161e-06 708.884 65293.5 288.601
9.34 8.32505e-06 709.289 65153 288.455
