[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.36 7.59755e-05 31.6699 269924 403.118
0.361 7.59684e-05 31.6728 269924 403.118
0.362 7.59614e-05 31.6758 269924 403.118
0.363 7.59544e-05 31.6787 269924 403.117
0.364 7.59474e-05 31.6817 269924 403.117
0.365 7.59404e-05 31.6846 269923 403.117
0.366 7.59333e-05 31.6876 269923 403.117
0.367 7.59263e-05 31.6905 269923 403.117
0.368 7.59193e-05 31.6935 269923 403.117
0.369 7.59123e-05 31.6964 269922 403.117
0.37 7.59053e-05 31.6994 269922 403.117
0.371 7.58983e-05 31.7023 269922 403.117
0.372 7.58912e-05 31.7053 269922 403.117
0.373 7.58842e-05 31.7082 269922 403.117
0.374 7.58772e-05 31.7112 269921 403.116
0.375 7.58702e-05 31.7141 269921 403.116
0.376 7.58632e-05 31.7171 269921 403.116
0.377 7.58562e-05 31.72 269921 403.116
0.378 7.58492e-05 31.723 269921 403.116
0.379 7.58422e-05 31.7259 269920 403.116
0.38 7.58351e-05 31.7289 269920 403.116
0.381 7.58281e-05 31.7318 269920 403.116
0.382 7.58211e-05 31.7348 269920 403.116
0.383 7.58141e-05 31.7377 269919 403.116
0.384 7.58071e-05 31.7407 269919 403.116
0.385 7.58001e-05 31.7436 269919 403.115
0.386 7.57931e-05 31.7466 269919 403.115
0.387 7.57861e-05 31.7495 269919 403.115
0.388 7.57791e-05 31.7525 269918 403.115
0.389 7.57721e-05 31.7554 269918 403.115
0.39 7.57651e-05 31.7584 269918 403.115
0.391 7.57581e-05 31.7613 269918 403.115
0.392 7.57511e-05 31.7643 269917 403.115
0.393 7.57441e-05 31.7672 269917 403.115
0.394 7.57371e-05 31.7702 269917 403.115
0.395 7.57301e-05 31.7732 269917 403.114
0.396 7.57231e-05 31.7761 269917 403.114
0.397 7.57161e-05 31.7791 269916 403.114
0.398 7.57091e-05 31.782 269916 403.114
0.399 7.57021e-05 31.785 269916 403.114
0.4 7.56951e-05 31.7879 269916 403.114
0.401 7.56881e-05 31.7909 269915 403.114
0.402 7.56811e-05 31.7939 269915 403.114
0.403 7.56741e-05 31.7968 269915 403.114
0.404 7.56671e-05 31.7998 269915 403.114
0.405 7.56601e-05 31.8027 269915 403.114
0.406 7.56531e-05 31.8057 269914 403.113
0.407 7.56461e-05 31.8086 269914 403.113
0.408 7.56391e-05 31.8116 269914 403.113
0.409 7.56321e-05 31.8146 269914 403.113
0.41 7.56251e-05 31.8175 269913 403.113
0.411 7.56181e-05 31.8205 269913 403.113
0.412 7.56111e-05 31.8234 269913 403.113
0.413 7.56041e-05 31.8264 269913 403.113
0.414 7.55971e-05 31.8294 269913 403.113
0.415 7.55901e-05 31.8323 269912 403.113
0.416 7.55831e-05 31.8353 269912 403.113
0.417 7.55762e-05 31.8383 269912 403.112
0.418 7.55692e-05 31.8412 269912 403.112
0.419 7.55622e-05 31.8442 269912 403.112
0.42 7.55552e-05 31.8471 269911 403.112
0.421 7.55482e-05 31.8501 269911 403.112
0.422 7.55412e-05 31.8531 269911 403.112
0.423 7.55342e-05 31.856 269911 403.112
0.424 7.55272e-05 31.859 269910 403.112
0.425 7.55203e-05 31.862 269910 403.112
0.426 7.55133e-05 31.8649 269910 403.112
0.427 7.55063e-05 31.8679 269910 403.111
0.428 7.54993e-05 31.8709 269910 403.111
0.429 7.54923e-05 31.8738 269909 403.111
0.43 7.54853e-05 31.8768 269909 403.111
0.431 7.54784e-05 31.8798 269909 403.111
0.432 7.54714e-05 31.8827 269909 403.111
0.433 7.54644e-05 31.8857 269908 403.111
0.434 7.54574e-05 31.8887 269908 403.111
0.435 7.54504e-05 31.8916 269908 403.111
0.436 7.54435e-05 31.8946 269908 403.111
0.437 7.54365e-05 31.8976 269908 403.111
0.438 7.54295e-05 31.9005 269907 403.11
0.439 7.54225e-05 31.9035 269907 403.11
0.44 7.54155e-05 31.9065 269907 403.11
0.441 7.54086e-05 31.9095 269907 403.11
0.442 7.54016e-05 31.9124 269906 403.11
0.443 7.53946e-05 31.9154 269906 403.11
0.444 7.53876e-05 31.9184 269906 403.11
0.445 7.53807e-05 31.9213 269906 403.11
0.446 7.53737e-05 31.9243 269906 403.11
0.447 7.53667e-05 31.9273 269905 403.11
0.448 7.53597e-05 31.9303 269905 403.11
0.449 7.53528e-05 31.9332 269905 403.109
0.45 7.53458e-05 31.9362 269905 403.109
0.451 7.53388e-05 31.9392 269904 403.109
0.452 7.53319e-05 31.9421 269904 403.109
0.453 7.53249e-05 31.9451 269904 403.109
0.454 7.53179e-05 31.9481 269904 403.109
0.455 7.5311e-05 31.9511 269904 403.109
0.456 7.5304e-05 31.954 269903 403.109
0.457 7.5297e-05 31.957 269903 403.109
0.458 7.52901e-05 31.96 269903 403.109
0.459 7.52831e-05 31.963 269903 403.108
0.46 7.52761e-05 31.9659 269902 403.108
0.461 7.52692e-05 31.9689 269902 403.108
0.462 7.52622e-05 31.9719 269902 403.108
0.463 7.52552e-05 31.9749 269902 403.108
0.464 7.52483e-05 31.9779 269902 403.108
0.465 7.52413e-05 31.9808 269901 403.108
0.466 7.52343e-05 31.9838 269901 403.108
0.467 7.52274e-05 31.9868 269901 403.108
0.468 7.52204e-05 31.9898 269901 403.108
0.469 7.52135e-05 31.9927 269900 403.108
0.47 7.52065e-05 31.9957 269900 403.107
0.471 7.51995e-05 31.9987 269900 403.107
0.472 7.51926e-05 32.0017 269900 403.107
0.473 7.51856e-05 32.0047 269900 403.107
0.474 7.51787e-05 32.0077 269899 403.107
0.475 7.51717e-05 32.0106 269899 403.107
0.476 7.51647e-05 32.0136 269899 403.107
0.477 7.51578e-05 32.0166 269899 403.107
0.478 7.51508e-05 32.0196 269898 403.107
0.479 7.51439e-05 32.0226 269898 403.107
0.48 7.51369e-05 32.0255 269898 403.106
0.481 7.513e-05 32.0285 269898 403.106
0.482 7.5123e-05 32.0315 269898 403.106
0.483 7.51161e-05 32.0345 269897 403.106
0.484 7.51091e-05 32.0375 269897 403.106
0.485 7.51022e-05 32.0405 269897 403.106
0.486 7.50952e-05 32.0434 269897 403.106
0.487 7.50883e-05 32.0464 269896 403.106
0.488 7.50813e-05 32.0494 269896 403.106
0.489 7.50744e-05 32.0524 269896 403.106
0.49 7.50674e-05 32.0554 269896 403.106
0.491 7.50605e-05 32.0584 269896 403.105
0.492 7.50535e-05 32.0614 269895 403.105
0.493 7.50466e-05 32.0643 269895 403.105
0.494 7.50396e-05 32.0673 269895 403.105
0.495 7.50327e-05 32.0703 269895 403.105
0.496 7.50257e-05 32.0733 269894 403.105
0.497 7.50188e-05 32.0763 269894 403.105
0.498 7.50118e-05 32.0793 269894 403.105
0.499 7.50049e-05 32.0823 269894 403.105
0.5 7.49979e-05 32.0853 269894 403.105
0.501 7.4991e-05 32.0882 269893 403.104
0.502 7.49841e-05 32.0912 269893 403.104
0.503 7.49771e-05 32.0942 269893 403.104
0.504 7.49702e-05 32.0972 269893 403.104
0.505 7.49632e-05 32.1002 269892 403.104
0.506 7.49563e-05 32.1032 269892 403.104
0.507 7.49494e-05 32.1062 269892 403.104
0.508 7.49424e-05 32.1092 269892 403.104
0.509 7.49355e-05 32.1122 269892 403.104
0.51 7.49285e-05 32.1152 269891 403.104
0.511 7.49216e-05 32.1182 269891 403.104
0.512 7.49147e-05 32.1212 269891 403.103
0.513 7.49077e-05 32.1241 269891 403.103
0.514 7.49008e-05 32.1271 269890 403.103
0.515 7.48939e-05 32.1301 269890 403.103
0.516 7.48869e-05 32.1331 269890 403.103
0.517 7.488e-05 32.1361 269890 403.103
0.518 7.48731e-05 32.1391 269890 403.103
0.519 7.48661e-05 32.1421 269889 403.103
0.52 7.48592e-05 32.1451 269889 403.103
0.521 7.48523e-05 32.1481 269889 403.103
0.522 7.48453e-05 32.1511 269889 403.102
0.523 7.48384e-05 32.1541 269888 403.102
0.524 7.48315e-05 32.1571 269888 403.102
0.525 7.48245e-05 32.1601 269888 403.102
0.526 7.48176e-05 32.1631 269888 403.102
0.527 7.48107e-05 32.1661 269887 403.102
0.528 7.48038e-05 32.1691 269887 403.102
0.529 7.47968e-05 32.1721 269887 403.102
0.53 7.47899e-05 32.1751 269887 403.102
0.531 7.4783e-05 32.1781 269887 403.102
0.532 7.47761e-05 32.1811 269886 403.102
0.533 7.47691e-05 32.1841 269886 403.101
0.534 7.47622e-05 32.1871 269886 403.101
0.535 7.47553e-05 32.1901 269886 403.101
0.536 7.47484e-05 32.1931 269885 403.101
0.537 7.47414e-05 32.1961 269885 403.101
0.538 7.47345e-05 32.1991 269885 403.101
0.539 7.47276e-05 32.2021 269885 403.101
0.54 7.47207e-05 32.2051 269885 403.101
0.541 7.47137e-05 32.2081 269884 403.101
0.542 7.47068e-05 32.2111 269884 403.101
0.543 7.46999e-05 32.2141 269884 403.1
0.544 7.4693e-05 32.2171 269884 403.1
0.545 7.46861e-05 32.2201 269883 403.1
0.546 7.46792e-05 32.2231 269883 403.1
0.547 7.46722e-05 32.2261 269883 403.1
0.548 7.46653e-05 32.2291 269883 403.1
0.549 7.46584e-05 32.2321 269883 403.1
0.55 7.46515e-05 32.2351 269882 403.1
0.551 7.46446e-05 32.2381 269882 403.1
0.552 7.46377e-05 32.2411 269882 403.1
0.553 7.46307e-05 32.2441 269882 403.099
0.554 7.46238e-05 32.2471 269881 403.099
0.555 7.46169e-05 32.2501 269881 403.099
0.556 7.461e-05 32.2532 269881 403.099
0.557 7.46031e-05 32.2562 269881 403.099
0.558 7.45962e-05 32.2592 269880 403.099
0.559 7.45893e-05 32.2622 269880 403.099
0.56 7.45824e-05 32.2652 269880 403.099
0.561 7.45755e-05 32.2682 269880 403.099
0.562 7.45685e-05 32.2712 269880 403.099
0.563 7.45616e-05 32.2742 269879 403.099
0.564 7.45547e-05 32.2772 269879 403.098
0.565 7.45478e-05 32.2802 269879 403.098
0.566 7.45409e-05 32.2832 269879 403.098
0.567 7.4534e-05 32.2862 269878 403.098
0.568 7.45271e-05 32.2893 269878 403.098
0.569 7.45202e-05 32.2923 269878 403.098
0.57 7.45133e-05 32.2953 269878 403.098
